caseno_2011,prev_address_2011,age_2011,distance_to_work_2011,no_of_cars_2011,country_birth_2011,deprived_edu_2011,deprived_employ_2011,deprived_health_2011,deprived_housing_2011,deprived_2011,health_activity_limited_2011,child_2011,ethnicity_2011,general_health_2011,edu_2011,illness_in_house_2011,occupation_2011,prev_region_2011,social_grade_2011,sex_2011,tenure_2011,travel_mode_to_work_2011,travel_mode_to_work_2001,place_of_work_2011,live_near_work_2011,workplace_2011
2828843,1,13,,4,1,0,1,1,0,3,2,1,1,1,11,2,75,,3,2,0,,,,,
2828835,1,16,,1,1,0,0,0,0,1,3,1,1,2,15,0,33,,,1,0,,,,,
2828852,1,4,,4,1,0,0,1,0,2,3,3,1,1,12,1,,,2,2,1,,,,,
2828862,1,12,,3,1,0,0,1,0,2,3,1,1,1,10,1,53,,3,2,0,,,,,
2828900,1,12,1,2,1,0,0,0,0,1,3,1,1,2,11,0,42,,2,2,0,7,7,1,3,3
2828913,1,2,,2,1,0,0,0,0,1,3,6,1,1,,0,,,,1,1,,,,,
2828926,3,16,,1,1,0,0,1,0,2,1,1,1,5,11,2,,9,,2,4,,,,,
2828929,1,4,,2,1,0,1,0,0,2,3,3,1,1,10,0,,,3,2,4,,,,,
2828940,1,10,4,3,1,0,0,0,0,1,3,2,1,3,15,0,54,,1,2,1,7,7,1,3,3
2828978,1,6,,1,1,0,0,0,0,1,3,,1,1,14,0,13,,2,1,9,,,,,
2828997,3,1,,1,1,1,0,0,0,2,3,2,1,1,,0,,8,,1,5,,,,,
2828984,1,15,,2,1,0,0,1,0,2,1,1,1,4,13,2,72,,,1,0,,,,,
2828999,1,12,4,2,1,0,0,0,0,1,3,1,1,1,15,0,34,,2,2,1,7,7,1,4,4
2829027,1,3,,3,1,1,0,0,0,2,3,6,1,1,,0,,,,2,1,,,,,
2829062,1,10,,3,1,0,1,0,0,2,3,3,1,2,14,0,21,,2,2,1,,,,,
2829087,1,5,5,4,1,0,0,1,0,2,3,1,1,1,15,1,52,,3,2,0,3,3,1,4,4
2829078,1,6,8,1,11,0,0,0,0,1,3,,6,2,15,0,53,,3,1,0,10,1,2,1,2
2829107,3,8,,2,1,1,0,0,0,2,3,6,1,2,10,0,52,9,3,2,4,,,,,
2829120,,5,,4,,0,0,0,0,1,,,,,,0,,,,2,1,,,,,
2829169,1,11,5,2,8,0,0,0,0,1,3,1,1,2,15,0,22,,3,2,1,7,7,1,3,3
2829167,1,14,,2,1,0,1,0,0,2,3,1,1,2,15,0,13,,,1,0,,,,,
2829175,1,18,,1,1,1,0,0,0,2,3,1,1,2,10,0,24,,,1,0,,,,,
2829190,1,11,9,4,1,0,0,0,0,1,3,3,1,1,14,0,71,,3,1,1,7,7,3,2,1
2829231,1,14,,2,1,0,0,1,0,2,2,1,1,2,11,1,33,,,2,0,,,,,
2829251,1,12,7,2,1,0,0,0,0,1,3,3,1,1,15,0,24,,1,1,0,7,7,1,4,4
2829267,1,2,,2,1,0,1,1,0,3,3,6,1,1,,1,,,,1,1,,,,,
2829282,1,15,,1,1,1,0,0,0,2,3,1,1,1,10,0,93,,,2,0,,,,,
2829302,1,14,,3,1,0,0,0,0,1,3,1,1,1,12,0,26,,,2,0,,,,,
2829310,1,10,3,0,1,0,1,1,1,4,3,1,3,1,14,2,33,,2,2,3,7,7,1,3,3
2829347,1,5,1,2,1,0,0,0,0,1,3,1,1,2,14,0,52,,1,2,1,7,7,1,3,3
2829349,1,9,5,1,1,0,0,0,0,1,3,,1,2,12,0,31,,3,2,1,7,7,1,4,4
2829373,1,18,,0,1,1,0,1,0,3,2,,1,2,10,1,33,,,2,0,,,,,
2829379,1,5,2,2,1,1,0,0,1,3,3,4,1,1,11,0,52,,3,1,7,8,8,1,3,3
2829407,,3,,1,,0,1,1,0,3,,,,,,1,,,,1,1,,,,,
2829444,3,5,2,1,1,0,0,0,0,1,3,1,1,1,14,0,52,9,3,2,1,7,7,1,3,3
2829459,1,14,,2,1,0,0,0,0,1,3,1,1,2,15,0,53,,,2,0,,,,,
2829448,1,17,,2,1,0,0,0,0,1,3,1,1,2,10,0,24,,,1,0,,,,,
